OBJECTID,artistLastName,artistFirstName,image,titleOfArtwork,dateOfArtwork,medium,zipcodes,locationOfArtwork,addressOfArtwork,publicSchoolNumber,siteOfArtwork,descriptionOfArtwork,visibility,indoorOutdoorAccessible,monument,location,F2010_Census_Neighborhoods,F2010_Census_Wards_Precincts,Zip_Codes,GlobalID
608,Berge,Henry,,Recreation and Education,c.1940 - 41,concrete aggregate,21201/21207,McCulloh Homes,McCulloh Homes,,,,,,,"McCulloh Homes21201/21207
(39.294880000000035, -76.62253999999996)",224,90,13642,06aa88de-8a10-44d7-9077-5e570bf8f51f
609,Bufano,Benjamin,,Cat,,,21218,Bufano Sculpture Garden,"Dunning Park, Johns Hopkins University",,,,,,,"Dunning Park, Johns Hopkins University21218
(39.32947000000013, -76.60331999999988)",77,186,27307,f9a38083-394e-4526-b301-cc0312062d4c
610,Rogers,Richard,,Unknown,1977,mural,21205,Tench Tilghman ES,601 N. Patterson Park Ave.,PS  13,Interior,,,,,"601 N. Patterson Park Ave.21205
(39.29803697417316, -76.58508337229023)",274,125,13987,9d9b1c56-ac53-47f4-a61a-60800b23947c
611,Wells,Betty,,Unknown,1970,,21213,Lake Clifton HS,2801 St. Lo Dr.,PS 40,Interior,,,,,"2801 St. Lo Dr.21213
(39.31751628932784, -76.58839287735805)",53,198,26956,fb844865-fa38-4681-833a-a24285814c7f
612,Creamer,Robert,,Unknown,1990,photographic relief piece,21207,Garrison MS,3910 Barrington Rd.,PS 142,Interior,,,,,"3910 Barrington Rd.21207
(39.33138383501961, -76.68459335483226)",38,64,13995,fcc5a5f6-511c-41c2-9d00-14a91ac3289f
613,Canova,Antonio,,Lions,,,21218,Baltimore Museum of Art,10 Art Museum Dr.,,West garden,,,,,"10 Art Museum Dr.21218
(39.325933943522045, -76.61823238229022)",123,13,27307,5f29e9c3-6782-43b0-a7e2-950a92aa7cd1
614,Benson,J. Arthur,,Nut and Bolt,1982/09,painted steel,21217,Mt. Royal Intermediate,121 McMechen St.,PS  66,Between two buildings,,,,,"121 McMechen St.21217
(39.30926950631914, -76.62483340598527)",21,103,27301,1d44454a-83e2-4212-b5d3-90ca1fbac87d
615,Hisaka,Don M.,,Jacob France Fountain,,,21230,John L. Deaton Medical Center,611 S. Charles St.,,,,,,,"611 S. Charles St.21230
(39.28133656408909, -76.61467106705419)",184,3,27953,0f19efa6-2e72-423d-8cb4-8f61264b330c
616,Ferguson,John D.,,Unknown,1976,"aluminum, corten, stainle",21225,Brooklyn ES,316 Pontiac Ave.,PS 203,Exterior,,,,,"316 Pontiac Ave.21225
(39.23643341516612, -76.60669408065428)",26,144,27937,34f8cf56-fece-46b0-929f-17836b76fa36
617,Benson,J. Arthur,,Unknown,1974,corten steel and aluminum,21217,Maryland Institute College of Art,1300 Mt. Royal Ave.,,Dolphin and Mt. Royal,,,,,"1300 Mt. Royal Ave.21217
(39.30750188439189, -76.62114988191786)",21,95,27301,4da2564d-1840-47e4-bb71-a638c618100c
618,Leizman,William,,Untitled,,,21205,Monument Street Association Parking Lot,Collington and McElderberry Sts.,,,,,,,"Collington and McElderberry Sts.21205
(39.302410000000066, -76.56324999999987)",181,145,13987,e407ec7f-790b-4df7-a61d-0834507ac088
619,Jakobsen,Tage E.,,Unknown,,etched glass,21210,Roland Park E/MS,5207 Roland Ave.,PS 233,Entrance to gymnasium,,,,,"5207 Roland Ave.21210
(39.35696055353293, -76.63479789406995)",265,254,14004,98f45ee5-0d0a-40c0-9887-2b31504c0315
620,Lipschitz,Jacques,,Mother and Child II,,,21218,The Wurtzburger Sculpture Garden,10 Art Museum Drive,,,,,,,"10 Art Museum Drive21218
(39.325933943522045, -76.61823238229022)",123,13,27307,0afbe330-0143-4c55-ac52-6c8d92c1a47a
621,Berge and Miller,Edward and J. Maxwell,,Latrobe Monument,1914,bronze,21231,Broadway and E. Baltimore Sts.,Broadway and E. Baltimore Sts.,,,,,,Y,"Broadway and E. Baltimore Sts.21231
(39.28823000000011, -76.59190000000001)",240,287,27954,cee208ab-326e-4d1d-bc34-057e6ce53bc2
622,unknown,,,Fell Family Memorial,1743-86,,21231,1607 Shakespeare St.,1607 Shakespeare St.,,,,,,Y,"1607 Shakespeare St.21231
(39.28205602171255, -76.59452625359785)",68,286,27954,9f1905cb-ebde-440f-81c5-c7928eb74844
623,Christie,Alden,,Baltimore Pylon,,,,Baltimore Washington Expressway,Baltimore Washington Expressway,,At city line,,,,,Baltimore Washington Expressway,,,,a6340bb8-6396-4c21-9238-aa731c5fb84d
624,Anuro,Bigarani,,Christopher Columbus,1984,Marble,21202,Columbus Square,Eastern and E. Falls Ave.,,Columbus Square,Marble columbus on pedestal in park,Moderately visible,Outdoor accessible,,"Eastern and E. Falls Ave.21202
(39.297300000000064, -76.60749999999996)",196,108,13645,b27a6595-5191-4467-b9b9-d74f2ddde3c5
625,Flood,James,,Unknown,1984/01,collage,21211,Robert Poole MS,1300 W. 36th St.,PS  56,Interior,,,,,"1300 W. 36th St.21211
(39.33035860790625, -76.63751384659844)",102,20,14006,5bfa20b5-8048-42a4-ae81-281ce1ef910b
626,Manzu,Giacomo,,Young Girl on a Chair,,,21218,The Wurtzburger Sculpture Garden,10 Art Museum Drive,,,,,,,"10 Art Museum Drive21218
(39.325933943522045, -76.61823238229022)",123,13,27307,377deae5-3020-479f-ba7a-ab4399bd49ff
627,Breitenbach,Richard,,Shelter,,,21210,Cross Keys Shopping Center,Cross Keys,,,,,,,"Cross Keys21210
(39.34921289425051, -76.63108369408891)",214,235,14004,128c602c-f7f4-4a61-ac97-90ed45d16625
628,Ferguson,John D.,,Unknown,1976,"aluminum, Plexiglas, mirr",21225,Maree Garnett Farring ES,300 Pontiac Ave.,,"Entrance facade, lobby",,,,,"300 Pontiac Ave.21225
(39.23673041547317, -76.60748274616097)",26,144,27937,33b15343-69b2-4576-b903-626ad6a319e9
629,McKinney,F.W.,,Serviceman's Memorial,1944,,21207,Ellicott Dr. and Bloomingdale Rd.,Ellicott Dr. and Bloomingdale Rd.,,,,,,Y,"Ellicott Dr. and Bloomingdale Rd.21207
(39.32364999999999, -76.72009000000003)",,,13995,0a8adb4a-9f3a-4419-9779-a0d1ad04ff22
630,McGuire,Patrick,,The Learning Tree,1981,painted steel,21217,John Eager Howard ES,2011 Linden Ave.,PS  61,Courtyard on Linden Avenue,,,,,"2011 Linden Ave.21217
(39.31094897479645, -76.63268942516514)",210,16,27301,4d4c4048-06dc-4edf-8aca-55ae86bed4c4
631,Lawrance,Charles,,,1994,mural,21202,1617 N. Calvert St.,1617 N. Calvert St.,,Side of building with park,Underwater life,Very visible,,,"1617 N. Calvert St.21202
(39.308172333443395, -76.61359188061903)",95,158,13645,4119c44d-bbfd-4028-815f-ca5ccf2eda61
632,unknown,,,Boy With Fish,,,21210,,"5300 block, St. Alban's Way",,,,,,,"5300 block, St. Alban's Way21210
(39.358510000000024, -76.63551999999993)",214,254,14004,0c963da4-d175-4f9f-8cea-afdc805725af
633,Massey,Allyn,,Sisyphus,1996,Sculpture,21217,Roof of Fox Building,Mt. Royal Avenue & Dixon Street,,Roof of Fox Building at MICA,Large Sphere created with steel rods,Very Visible,,,"Mt. Royal Avenue & Dixon Street21217
(39.31194000000011, -76.64039000000002)",195,19,27301,1bae0414-56eb-4114-9fe7-6755518c17fd
634,Colin,Bruce,,Unknown,,concrete,21229,Hilton Recreation Center,2950 Phelps Lane,,Lawn opposite entrance,,,,,"2950 Phelps Lane21229
(39.288783213035266, -76.66928020150937)",35,76,27950,b5f1c903-9043-4017-9e77-b17e227c4d32
635,Hadzi,Dmitri,https://data.baltimorecity.gov/views/5xsg-uc29/files/yI7Ee9xa0ZOFdXaDZi5iUpMKSJKxGSyAaXsShqTIu3A?filename=470_Hadzi+D_1967.jpg,Helios,1967,bronze,21201,Sun Life Building,20 S. Charles St.,,Hangs in lobby,,Moderately visible,Indoor Accessible,,"20 S. Charles St.21201
(39.28885597671823, -76.61515422748131)",65,6,13645,0dc5a9e3-42f6-47ef-9fe2-7b14bd4715f2
636,Mason,Pontella,,Reawakening,1994,mural,21217,903 N. Stricker St.,903 N. Stricker St.,,Side of building,Images of famous African Americans,Visible,,,"903 N. Stricker St.21217
(39.29909817416774, -76.64155180250998)",221,86,27301,7d9d09b4-31d6-4970-b4d3-ccac853995b1
637,Leizman,William,,Unknown,1968,weathering steel,21229,Rognel Heights ES,4300 Sidehill Rd.,PS  89,Exterior,,,,,"4300 Sidehill Rd.21229
(39.2977312046832, -76.69203074801459)",213,54,27950,bea4c9a7-da93-4cc4-ad56-415d9fc95e3c
638,Gerlach,David,https://data.baltimorecity.gov/views/5xsg-uc29/files/ht6cofLT8CP8ygjpOOaydHb7Pzv-dD2PMNX338J6m9I?filename=325a_Gerlach+D_1985.JPG,John Eager Howard,1985,steel,21201,Howard Park,Howard St. and Center St.,,,3 soldiers with muskets raised,,,Y,"Howard St. and Center St.21201
(39.294880000000035, -76.62253999999996)",224,90,13642,a639839a-2d45-4137-8dbf-b0b3cb136d51
639,Glassman,Stephen,,Unknown,1976,restoration of paintings ,21202,Renovation of Baltimore City Hall,100 N. Holliday St.,,,,,,,"100 N. Holliday St.21202
(39.290590587770566, -76.61021942300914)",65,6,13645,9b9b7ef6-37f2-4ec2-9e5e-5f156129d8fd
640,Paolozzi,Eduardo,,Box-headed Figure,,,21218,The Wurtzburger Sculpture Garden,10 Art Museum Drive,,,,,,,"10 Art Museum Drive21218
(39.325933943522045, -76.61823238229022)",123,13,27307,0adc7393-6a2f-4624-9ec5-59d518b5a700
641,Boethus (copy),,,Boy Strangling a Goose,1851,bronze,21217,Druid Hill Park Children's Zoo,2570 Druid Hill Ave,,,,,,,"2570 Druid Hill Ave21217
(39.31473613243264, -76.6426330411134)",195,19,27301,88fe7a02-977e-4411-9fed-4f262906f94f
642,Rivas,Nelson,,,2008,mural,21218,Giant Foods at 33rd and Greenmount,601 East 33rd Street,,mural on side of building facing south side street,collage of various faces,"Visible from South, side street",,,"601 East 33rd Street21218
(39.328317146899735, -76.6077462874286)",251,181,27307,80ef9604-5e19-4839-8698-24ec57a12d72
643,unknown,,,Garrett Park Monument,1955,,21225,Garrett Park,Patapsco Ave. Garrett Park,,,,,,Y,"Patapsco Ave. Garrett Park21225
(39.22678000000002, -76.61608999999999)",,,27937,fe570563-ecd8-4935-b17b-d24e3df0db87
644,Kissack,Lyle,,The Unity Wall,2005,mural,21218,323 E. 20th St.,323 E. 20th St.,,Side of building,"People in community holding hands; cityscape in background","Visible; near Baltimore City Public School Headquarters",,,"323 E. 20th St.21218
(39.3124081402014, -76.61164035181548)",10,160,27307,e8ef5c7e-ea85-47d5-8df5-7217a97f7ddc
645,Golde,R.P.,,Conradin Kreutzer Monument,1915,bronze,21231,Patterson Park,Patterson Park,,,,,,Y,"Patterson Park21231
(39.28823000000011, -76.59190000000001)",240,287,27954,101763ee-c2c1-4757-81f9-ee6c9bb35bfa
646,Bufano,Benjamin,,Ram,,,21218,Bufano Sculpture Garden,"Dunning Park, Johns Hopkins University",,,,,,,"Dunning Park, Johns Hopkins University21218
(39.32947000000013, -76.60331999999988)",77,186,27307,bbcae689-af29-453c-8033-1bbc1ce14d37
647,Johnson,Jeffrey Nels,,Unknown,c.1974,steel & steel cable,21217,Maryland Institute College of Art,1300 Mt. Royal Ave.,,Howard Street south of Dolphin near Lightrail,,,,,"1300 Mt. Royal Ave.21217
(39.30750188439189, -76.62114988191786)",21,95,27301,6e7b087d-5fd4-4247-8b52-89355ef08faa
648,Bonnell,Bonnie,,,1992,mural,21217,North and Park Aves.,North and Park Aves.,,Side of buildings facing North Ave.,Flowers,Very visible (North and Park Aves.),,,"North and Park Aves.21217
(39.31194000000011, -76.64039000000002)",195,19,27301,8594e751-9781-41e8-95f2-6749a06c73e2
649,"Schuler, artist and Pietsch, architect",Hans and Theodore Wells,,Fallsway Fountain,1915,marble,21202,Guilford Ave. and Biddle St.,Guilford Ave. and Biddle St.,,,,,,Y,"Guilford Ave. and Biddle St.21202
(39.30361277075485, -76.61193712808512)",151,97,13645,313b3c37-fc4d-4de4-a093-f0664b99dec0
650,L.P.Cook and Company,,,Memorial Stadium (Facade and urn),1954,,21218,33rd St.,33rd St.,,,,,,Y,"33rd St.21218
(39.32737285876897, -76.58774086888681)",158,190,27307,efa72871-5f9b-4908-b7e2-5820a06168d9
651,Weinman,Adolph A.,,Baltimore Musem Of Art Lions,1930,limestone,21218,Baltimore Museum Of Art,10 Art Museum Dr.,,Terrace in front of musem,,,,,"10 Art Museum Dr.21218
(39.325933943522045, -76.61823238229022)",123,13,27307,cd660506-1ad0-4bfe-9ced-c44197d994e2
652,Ridenour,Ray,,,1999,mural,21230,38 E. Cross St.,38 E. Cross St.,,Side of No Way Jose Café,"Cars, ship, canons, houses with Federal Hill at the top",Visible (on side of restaurant/ bar near Cross St. Market in Federal Hill),,,"38 E. Cross St.21230
(39.27695686580637, -76.61306128062176)",67,175,27953,ecb1da14-1eb6-4842-9c5e-24dae683e78a
653,Leizman,William,,Untitled,1971,corten,21216,Cahill Recreation Center,4001 Clifton Ave.,,Exterior,,,,,"4001 Clifton Ave.21216
(39.31228223511732, -76.684647314154)",164,45,27297,65e79063-ad8b-43b6-b8d5-8b99f94c349d
654,,,,Apollo Belvedere,1902 (cast),Bronze,21212,Evergreen House (Johns Hopkins University),4545 North Charles St.,,Garden,,,,,"4545 North Charles St.21212
(39.3684100000001, -76.61570999999998)",37,271,14009,0fe6b950-99d1-42fb-a893-c1a7748d6d5a
655,von Schlegell,David,,Untitled,1978,painted aluminum,21230,Southern HS,1100 Covington St.,PS  70,Entrance plaza,,,,,"1100 Covington St.21230
(39.27664210309615, -76.60693689760222)",212,171,27953,c5aa1859-f86f-426f-92c2-faa85485ec19
656,Bergner,Joel,,,2008,mural,21202,"JFX Farmers Market, outside of parking lot",212 Holliday Street,,column outside of parking lot north side,"scene of Mayan emblem, corn growin",Very Visible,,,"212 Holliday Street21202
(39.29146211325886, -76.61031346272442)",65,6,13645,f756a0fc-7672-46d0-a100-87c8e15facc1
657,Schneider,Jo Ann,,Noah's Ark,,,21210,Cross Keys Shopping Center,Cross Keys,,,,,,,"Cross Keys21210
(39.34921289425051, -76.63108369408891)",214,235,14004,41dfd1c0-fab0-4e37-9662-eeb37cf3c13c
658,unknown,,,Mother's Garden,1928,,21213,Clifton Park,Harford Rd. and Erdman Ave.,,,,,,Y,"Harford Rd. and Erdman Ave.21213
(39.316199999999924, -76.57662999999991)",276,194,26956,09684b37-3fbd-4faf-870c-e9e9629f2a95
659,Witkin,Issac,,Chorale,1981,painted steel,21202,Social Security Metro West,490 N. Greene St.,,Corner Greene / Franklin,,,,,"490 N. Greene St.21202
(39.297300000000064, -76.60749999999996)",196,108,13645,5e3af193-03ea-44f9-828f-204ff7744af3
660,Schuler,Hans,,Untitled,1979,terra-cotta,21211,Hampden ES,801 W. 37th St.,PS  55,North wall,,,,,"801 W. 37th St.21211
(39.332858723147694, -76.6299865212132)",102,73,14006,562bf0cd-ca56-42d1-b77e-b9445c7b410a
661,Rodriquez,Antonio,,,1991,mural,21212,5700 York Rd.,5700 York Rd.,,Side of wall by BP Gas station,"Public transportation including wagon, trolley car and bus",Very visible (on York Rd.),,,"5700 York Rd.21212
(39.359451675554055, -76.6099226467395)",271,257,14009,ea92f48f-c173-49fa-a951-8ccc7b7f5118
662,Shaw,Ernest,,,1999,mural,21223,2174 Hollins St.,2174 Hollins St.,,Side of abandoned building,Four children at a fire hydrant,Limited visibility,,,"2174 Hollins St.21223
(39.28701276375379, -76.65103901021284)",4,79,27632,304e0937-f8f4-4aca-9265-d7ef2d5bbfde
663,Ferguson,John D.,,On Point,1976,cor ten,21210,Cross Keys Shopping Center,Cross Keys,,Courtyard,,,,,"Cross Keys21210
(39.34921289425051, -76.63108369408891)",214,235,14004,aca18cdb-3083-416a-b70c-6cd7d9d61c8e
664,Ellsberry,John,,,1992,mural,21201,500 N. Howard St.,500 N. Howard St.,,Marquee of Mayfair Theater,"Mayfair, including Billy Holiday and five piece band",Visible,,,"500 N. Howard St.21201
(39.294996911178586, -76.61987063772014)",165,92,13642,67e45832-326b-4ca0-b786-de2814679384
665,Turnbull,Grace Hill,https://data.baltimorecity.gov/views/5xsg-uc29/files/7f6oaydZvzb1awOkWcI59VGDPDhLDcJHCzHOTZRqZGA?filename=518_Turnbull+G_1933.JPG,The Naiad,1933,bronze,21202,Mount Vernon Pl. East Garden,East Garden Mount Vernon Pl.,,East garden,woman's figure in a crazy yoga pose,highly visible,Outdoor Accessible,,"East Garden Mount Vernon Pl.21202
(39.297300000000064, -76.60749999999996)",196,108,13645,bdafa134-ea31-41cb-b78c-ad57222ab590
666,unknown,,,Battery Cannons,1812,,21230,Riverside Park,Riverside Park,,,,,,Y,"Riverside Park21230
(39.266940000000034, -76.62630000000001)",258,151,27953,6b3e1c6b-696b-4162-9b90-414ff3a1ac7e
667,Coletti,Joseph,,Unknown - Reliefs Cathedral of Mary our Queen,1955-59,limestone,21210,Cathedral of Mary our Queen,5300 N. Charles St.,,Facades and doors,,,,,"5300 N. Charles St.21210
(39.359982275551374, -76.62468951446061)",116,256,14009,493027ba-0152-4428-94ef-e85e1ce3b0d6
668,Brown,James,,Unknown,1970,ceramics,21213,Lake Clifton HS,2801 St. Lo Dr.,PS 40,Interior,,,,,"2801 St. Lo Dr.21213
(39.31751628932784, -76.58839287735805)",53,198,26956,cfe923b7-7fbb-4837-b9bf-2a55989a705c
669,Heironimus,Robert,,A Little Help from Our Friends,1996,mural (non-city funded),21218,Greenmount Ave. and Venerable Ave.,Greenmount Ave. and Venerable Ave.,,Side of building facing Venerable Ave.,"Various images, including Memorial Staduim, Waverly Market, MLK, Leon Day, Ghandi, Harriet Tubman",Limited visibility,,,"Greenmount Ave. and Venerable Ave.21218
(39.32947000000013, -76.60331999999988)",77,186,27307,ee2dbd80-9874-401b-b26b-545c8461eef4
670,Streett,Tylden,,Captain John O'Donnell,1979,bronze,21224,O'Donnell Sq.,O'Donnell St. and Curley St.,,O'Donnell St. town square at Curley St,,,,Y,"O'Donnell St. and Curley St.21224
(39.28037428951774, -76.57471418929242)",30,115,27935,92395f5e-a4b5-42cc-a384-8258e20b477e
671,unknown,,,Baltimore Police Department,,,21202,Shot Tower Park,Fallsway and Fayette Sts.,,,,,,,"Fallsway and Fayette Sts.21202
(39.297300000000064, -76.60749999999996)",196,108,13645,c2b4ced2-53f4-4308-9634-498cca02cc59
672,Henry,Gregory,,Unknown,1989,sculptured display cases,21210,Roland Park E/MS,5207 Roland Ave.,PS 233,"Interior; front lobby",,,,,"5207 Roland Ave.21210
(39.35696055353293, -76.63479789406995)",265,254,14004,ea54f173-ba26-49a7-95bb-d42533731cd1
673,Ferguson,John D.,,Number 9,1968,steel,21210,Cross Keys Shopping Center,Cross Keys,,,,,,,"Cross Keys21210
(39.34921289425051, -76.63108369408891)",214,235,14004,2c146565-718f-4d24-a59c-6e727c6d3a66
674,Mikami,Hiroshi,,Untitled,1977,Tennenese limestine,21202,Park at Lombard and Commerce Sts.,Lombard and Commerce Sts.,,Northeast corner of intersection,,,,,"Lombard and Commerce Sts.21202
(39.297300000000064, -76.60749999999996)",196,108,13645,268ffe76-ee99-447b-8554-0feab0cc92db
675,Bufano,Benjamin,,Bear and Cubs,,,21218,Bufano Sculpture Garden,"Dunning Park, Johns Hopkins University",,,,,,,"Dunning Park, Johns Hopkins University21218
(39.32947000000013, -76.60331999999988)",77,186,27307,a0ddfa56-dc26-4870-8a18-8cb037fd4cb5
676,Maynard,Valarie,,Unknown,1978,wood relief,21218,Baltimore City College,33rd St. and The Alameda,PS 480,"Interior; auditorium",,,,,"33rd St. and The Alameda21218
(39.32849701130556, -76.59533564342422)",77,186,27307,112543c5-4ead-40f3-a858-cb9709bc439c
677,DePalma,Linda,https://data.baltimorecity.gov/views/5xsg-uc29/files/3hwPRsbMe6bXQCAHFp0_MfS5RKGJERnfq0mmvYolxU8?filename=52p_DePalma+L_1988.jpg,Redwood Arch,1988,steel,21201,"Redwood St., between Paca and Eutaw Sts.","Redwood St., between Paca and Eutaw Sts.",,At the ends of the block,,,,,"Redwood St., between Paca and Eutaw Sts.21201
(39.294880000000035, -76.62253999999996)",224,90,13642,ab2a33c0-c44d-4510-9928-6507a9d49783
678,Edmister,Stan,,Madonna and Child,,painted steel,21202,David E. Weglein ES,22 S. Central Ave.,PS  02,Entrance plaza,,,,,"22 S. Central Ave.21202
(39.29067747844692, -76.59970869974902)",110,110,13645,eaceb209-35f5-4d93-a2d3-a81a4a06ce80
679,Wyland,Unknown,,,1993,mural (non-city funded),21230,Russell and Hamburg Sts.,Russell and Hamburg Sts.,,Side of building facing Russell St.,Whales under water,Very visible,,,"Russell and Hamburg Sts.21230
(39.266940000000034, -76.62630000000001)",258,151,27953,30efe94b-39c8-463a-aaf1-91e307874fd8
680,Schuler,Hans,,Martin Luther Monument,1936,bronze,21218,Hillen Rd. and 33rd St.,Hillen Rd. and 33rd St.,,33rd St at Hillen Road,,,,Y,"Hillen Rd. and 33rd St.21218
(39.32850600452588, -76.58931917904823)",77,187,27307,7bd9d2e4-c703-4013-8cc3-710d316f7420
681,Holmes,Sam Christian,,A Throne for the Eulipions,2002,bus shelters,21201,East side of Howard St. at Centre and Madison Sts.,East side of Howard St. at Centre and Madison Sts.,,East side of Howard St. at Centre and Madison Sts.,Bus shelters with metalwork,Very visible from street,,,"East side of Howard St. at Centre and Madison Sts.21201
(39.294880000000035, -76.62253999999996)",224,90,13642,b386ed9d-4ad0-4ba9-b482-79094b5630d5
682,Ono,Setsuko,https://data.baltimorecity.gov/views/5xsg-uc29/files/InzIAK_6t_InMSNwf4w1vvFvNQ_GGbAlwa5ivHMeARk?filename=712a_Ono+S_2005.jpg,Ecstasy of Love,2005,Stainless Steel,21201,McKeldin Square in Inner Harbor,Light & Pratt Sts.,,Inside Fountain,Stainless Steel Sculpture of Woman Dancing,Very Visible,Outdoor accessible,,"Light & Pratt Sts.21201
(39.294880000000035, -76.62253999999996)",224,90,13642,88bcda8b-2402-4862-9b07-7b1ee19b6f99
683,Kissack,Lyle,,,2000,mural,21229,4004 Frederick Ave.,4004 Frederick Ave.,,Side of building with community park,People in community,Barely visible from street,,,"4004 Frederick Ave.21229
(39.281759245442856, -76.68254290060548)",122,290,27950,8e7f40f7-385b-42a1-9385-2e57746713da
684,Zopf,Fernanda,,Unknown,1974,concrete,21217,William H. Pinderhughes ES,1200 N. Freemont Ave.,PS  28,Front lawn,,,,,"1200 N. Freemont Ave.21217
(39.30253732325122, -76.63642794927624)",221,15,27301,d4bef0e6-20ed-49fe-aba5-713767fda869
685,Kelly,Joan,https://data.baltimorecity.gov/views/5xsg-uc29/files/0STBwCGA6fSONy1Z0YuzuhF0dGu2Gkp_HBaOsK9xeWg?filename=194_Kelly+J_1998.JPG,Unknown,1998,painted mural,21218,Montelbello ES,2040 E. 32nd St.,PS  44,"Interior; entrance to multi-purpose area",School scenes,Limited visibility as located inside school building,,,"2040 E. 32nd St.21218
(39.32731889944722, -76.5857578638122)",54,190,27307,2857f7ad-c626-447a-99d3-d3e3aaab6003
